epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.5199,2.02613,3.39648,2.18891,0.00333,1,0.68316,0.25189,1.77252,3.52572,2.1989,0.0001,0.0001,0.0001
2,95.0844,1.72656,2.7018,1.78504,0.00333,1,0.65025,0.22401,1.64458,3.19512,1.79735,0.000215644,0.000215644,0.000215644
3,139.483,1.57227,1.9324,1.57587,0.00333,1,0.97365,0.44628,1.50694,3.02913,1.76945,0.000326536,0.000326536,0.000326536
4,184.772,1.63212,1.78097,1.59058,0.00333,1,0.94656,0.42144,1.63824,3.04156,1.9617,0.000432676,0.000432676,0.000432676
5,231.192,1.62229,1.77696,1.60288,0.01078,0.96774,0.93687,0.4404,1.6971,2.99364,2.04667,0.000534064,0.000534064,0.000534064
6,276.547,1.49927,1.5655,1.5181,0.93683,0.47867,0.92579,0.40501,1.71589,2.94442,1.92733,0.0006307,0.0006307,0.0006307
7,320.417,1.60379,1.60928,1.5132,0.93933,0.49993,0.91403,0.38705,1.77076,2.79183,1.8052,0.000722584,0.000722584,0.000722584
8,361.743,1.56574,1.56218,1.51616,0.98158,0.96774,0.98663,0.46933,1.68248,2.45829,1.77077,0.000809716,0.000809716,0.000809716
9,403.955,1.53487,1.46829,1.44182,0.95453,0.96774,0.95893,0.43461,1.81557,2.23178,1.98533,0.000892096,0.000892096,0.000892096
10,445.366,1.63474,1.50034,1.46775,0.9321,0.96774,0.97053,0.39836,1.83167,2.13654,1.95521,0.000969724,0.000969724,0.000969724
11,494.154,1.56824,1.5022,1.56287,0.7659,0.63354,0.75348,0.30456,1.94332,2.54242,2.01686,0.0010426,0.0010426,0.0010426
12,545.977,1.55005,1.55484,1.54685,0.93121,0.87341,0.96522,0.47285,1.79659,2.10013,1.83632,0.00111072,0.00111072,0.00111072
13,598.719,1.5092,1.40596,1.48978,0.70326,0.77419,0.80147,0.26428,1.91765,2.66333,2.25641,0.0011741,0.0011741,0.0011741
14,650.996,1.5994,1.4423,1.57973,0.91195,0.66852,0.807,0.32334,1.98063,2.22302,2.08993,0.00123272,0.00123272,0.00123272
15,703.328,1.57843,1.45228,1.48944,0.8366,0.87097,0.86499,0.27395,2.20043,1.98166,2.33577,0.00128658,0.00128658,0.00128658
16,754.671,1.56948,1.39296,1.53223,0.99603,0.93548,0.99136,0.3836,1.93132,1.60626,2.00533,0.0013357,0.0013357,0.0013357
17,807.481,1.43516,1.35332,1.42576,0.85846,0.87097,0.90033,0.25649,2.43584,1.8412,2.39585,0.0013664,0.0013664,0.0013664
18,859.42,1.48572,1.30363,1.42775,0.74857,0.80645,0.87566,0.34564,2.15694,2.04693,2.28067,0.0013268,0.0013268,0.0013268
19,917.934,1.5141,1.25454,1.40248,0.91945,0.83871,0.89434,0.40366,1.82087,1.9196,1.79877,0.0012872,0.0012872,0.0012872
20,970.153,1.46876,1.1945,1.42174,0.87251,0.77419,0.84613,0.34292,2.03972,1.95831,2.00548,0.0012476,0.0012476,0.0012476
21,1010.83,1.50362,1.14761,1.39691,0.90745,0.94906,0.96649,0.33599,2.0846,1.79379,2.01555,0.001208,0.001208,0.001208
22,1053.03,1.42008,1.1689,1.37304,0.94596,0.74194,0.89316,0.39982,1.87137,1.69953,1.83469,0.0011684,0.0011684,0.0011684
23,1094.8,1.43082,1.14621,1.33406,0.78058,0.68881,0.75398,0.34353,1.93571,1.90401,1.88633,0.0011288,0.0011288,0.0011288
24,1137.63,1.36168,1.10941,1.35143,0.78996,0.58065,0.61486,0.22597,2.14926,2.184,1.99173,0.0010892,0.0010892,0.0010892
25,1182.39,1.32326,1.11822,1.35696,0.87913,0.70407,0.71552,0.27126,2.06182,2.01795,2.02214,0.0010496,0.0010496,0.0010496
26,1227.65,1.34494,1.06987,1.31491,0.93573,0.96774,0.95421,0.43213,1.94433,1.35185,2.20433,0.00101,0.00101,0.00101
27,1269.81,1.29198,1.0004,1.33635,0.93077,0.96774,0.94975,0.48331,1.70522,1.21574,1.88115,0.0009704,0.0009704,0.0009704
28,1316.49,1.24912,0.98759,1.30057,0.93601,0.96774,0.98796,0.43441,1.98026,1.27634,2.05743,0.0009308,0.0009308,0.0009308
29,1371.92,1.29648,1.01938,1.32679,0.96147,0.90323,0.95769,0.46459,1.84507,1.25345,1.93384,0.0008912,0.0008912,0.0008912
